,precision,recall,f1-score,support
0,0.9818731117824774,0.9948979591836735,0.988342625443487,980.0
1,0.9877729257641922,0.9964757709251101,0.9921052631578947,1135.0
2,0.9797687861271677,0.9854651162790697,0.9826086956521739,1032.0
3,0.9811133200795229,0.9772277227722772,0.9791666666666666,1010.0
4,0.983640081799591,0.9796334012219959,0.9816326530612245,982.0
5,0.983127109111361,0.9798206278026906,0.9814710836608647,892.0
6,0.9853249475890985,0.9812108559498957,0.9832635983263598,958.0
7,0.9758919961427194,0.9844357976653697,0.9801452784503631,1028.0
8,0.9896157840083074,0.9784394250513347,0.9839958699019101,974.0
9,0.9849548645937813,0.9732408325074331,0.9790628115653041,1009.0
accuracy,0.9833,0.9833,0.9833,0.9833
macro avg,0.983308292699822,0.9830847509358851,0.983179454588625,10000.0
weighted avg,0.9833151206331562,0.9833,0.9832903453394296,10000.0
